"","class","avg_mass","Fell","Found","total_row","pct_of_all"
"367","Pallasite",6182,1,10,11,0.034
"368","Pallasite, PES",7033,0,3,3,0.009
"369","Pallasite, PMG",6585,2,32,34,0.106
"370","Pallasite, PMG-an",6985,1,10,11,0.034
"371","Pallasite, ungrouped",7200,0,4,4,0.012
"372","Pallasite?",2457,0,1,1,0.003
"373","R",5567,0,1,1,0.003
"374","R3",6529,0,6,6,0.019
"375","R3-4",3344,0,1,1,0.003
"376","R3-6",6039,0,2,2,0.006
"377","R3.5-6",4569,0,1,1,0.003
"378","R3.6",1574,0,2,2,0.006
"379","R3.8",6847,0,3,3,0.009
"380","R3.8-5",3381,0,1,1,0.003
"381","R3.8-6",8746,1,2,3,0.009
"382","R3.9",10021,0,1,1,0.003
"383","R4",7113,0,6,6,0.019
"384","R5",3844,0,8,8,0.025
"385","Relict H",1,0,1,1,0.003
"386","Relict iron",2,0,1,1,0.003
"387","Relict OC",1,0,64,64,0.2
"388","Stone-uncl",2543,39,9,48,0.15
"389","Stone-ung",68,0,1,1,0.003
"390","Unknown",1,2,3,5,0.016
"391","Ureilite",6022,4,151,155,0.484
"392","Ureilite-an",6405,1,2,3,0.009
"393","Ureilite-pmict",6913,0,16,16,0.05
"394","Winonaite",4779,1,12,13,0.041
